urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; catenaXId ; Catena-X Identifier ; ext-uuid:UuidV4Trait ; The Catena-X ID of the given asset, valid for the Catena-X dataspace. ;
urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; childItems ; Child Items ; :SetOfChildItemsCharacteristic ; Set of child items, of which the given parent object consist of. ;
urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; paired ; paired ; :PairedCharacteristic ; Currently paired when set to true. ;
urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; pairedOn ; Paired On ; samm-c:Timestamp ; Timestamp of pairing of an IoT Device to an Asset. ;
urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; unpairedOn ; Unpaired On ; samm-c:Timestamp ; Timestamp of the unpairing of an IoT Device from an Asset. ;
urn:samm:io.catenax.asset_tracker_links:2.0.0 ; 2.0.0 ; release ; Property ; historicalData ; Historical Data ; :ResourcePath ; Describes the location where the historical sensor data can be found. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; catenaXId ; Catena-X Identifier ; ext-uuid:UuidV4Trait ; The fully anonymous Catena-X ID of the batch, valid for the Catena-X dataspace. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; localIdentifiers ; Local Identifiers ; :LocalIdentifierCharacteristic ; A local identifier enables identification of a part in a specific dataspace, but is not unique in Catena-X dataspace. Multiple local identifiers may exist. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; manufacturingInformation ; Manufacturing Information ; :ManufacturingCharacteristic ; Information from manufacturing process, such as manufacturing date and manufacturing country ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; partTypeInformation ; Part Type Information ; :PartTypeInformationCharacteristic ; The part type of which the batch has been instantiated of. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; key ; Identifier Key ; :KeyTrait ; The key of a local identifier. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; value ; Identifier Value ; :ValueCharacteristic ; The value of an identifier. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; date ; Production Date ; :DateTrait ; Timestamp of the manufacturing date as the final step in production process(e.g. final quality check, ready-for-shipment event) ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; country ; Country code ; :ProductionCountryCodeTrait ; Country code where the part was manufactured ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; manufacturerPartId ; Manufacturer Part ID ; :PartIdCharacteristic ; Part ID as assigned by the manufacturer of the part. The Part ID identifies the part(as designed)in the manufacturer`s dataspace. The Part ID does not reference a specific instance of a part and thus should not be confused with the serial number or batch number. ;
urn:samm:io.catenax.batch:3.0.1 ; 3.0.1 ; release ; Property ; nameAtManufacturer ; Name at Manufacturer ; :PartNameCharacteristic ; Name of the part as assigned by the manufacturer ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; specVersion ; Battery Product Passport Specification Version ; samm-c:Text ; Specification of the BatteryPass format/data model (name and version number), which is used. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; identification ; Identification ; :IdentificationCharacteristic ; Battery identification involves specific battery identifiers, including those assigned locally by the manufacturer. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(a) refers to AnnexVi PartA (2) refers to Article 38 (6):\nbattery batch number or serial number or product number or another element allowing their identification. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; operation ; Operation ; :OperationCharacteristic ; General operation information includes details such as the manufacturer's identification and the date of production. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (a) and refers to ANNEX VI Part A which refers to Article 38:\n7. Manufacturers shall indicate on the battery their name, registered trade name or registered trade mark, their postal address, indicating a single contact point, and, if available, web and e-mail address. \nFrom Annex XIII (1) (a) and found in ANNEX VI Part A :\n3. the place of manufacture (geographical location of a battery manufacturing plant).\n4. the date of manufacture (month and year). ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; characteristics ; Characteristics ; :CharacteristicsElement ; Characteristics of the battery, such as the warranty and the physical dimensions. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; sustainability ; Sustainability ; :SustainabilityCharacteristic ; Sustainability includes information on the carbon footprint, sustainability documents and the status of the battery. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; materials ; Materials ; :ChemicalMaterialCharacteristic ; Chemical materials relevant for the composition of the battery. These include active, hazardous and critical materials. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; performance ; Performance ; :PerformanceCharacteristic ; Performance attributes of the battery including rated and dynamic values. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; conformity ; Conformity ; :ConformityCharacteristic ; Conformity documents for the battery passport. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; safety ; Safety ; :SafetyCharacteristic ; Safety information on the battery. Included are the attributes safety measurements, meaning of labels, safe discharging and dismantling. These are all documents. Additionally information about usable extinguish agent can be provided. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; sources ; Sources ; ext-passport:SourceList ; Consider additional available sources to enhance the content of the battery passport. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; batteryCategory ; Battery Category ; :CategoryEnumeration ; The battery category, which can be a portable battery; starting, lighting and ignition battery (SLI); light means of transport battery (LMT); electric vehicle battery (EV), industrial battery and incorporated battery. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (a) and refers to ANNEX VI Part A:\n2. the battery category and information identifying the battery in accordance with Article 38(6). ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; idDmc ; Id DMC ; ext-passport:IdentifierCharacteristic ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; batteryChemistry ; Battery Chemistry ; samm-c:Text ; Battery chemistry refers to the specific chemical composition and reactions that occur within a battery to produce and store electrical energy. The chemistry has to be stated as detailed as possible for example: the Nickel Cobalt Manganese battery 'NCM'. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (a) and refers to ANNEX VI Part A:\n7. the chemestry. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; intoServiceDate ; Into Service Date ; ext-passport:DateTrait ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; warranty ; Warranty ; :WarrantyCharacteristic ; The warranty of the battery. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in ANNEX XIII:\n(m) period for which the commercial warranty for the calendar life applies. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; physicalDimension ; Physical Dimension ; :PhysicalDimensionCharacteristic ; The weight of the battery. For calculation of the energy density, the volume is also needed. The energy density of a battery is measured in watt-hours per kilogram (Wh/kg) and watt-hours per liter (Wh/L). These measures indicate how much energy a battery can store relative to its weight and volume, respectively. Other measurements are optional.These are mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(a) and refers to Annex VI Part A:\n5. the weight. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; sustainabilityDocuments ; sustainability Documents ; :SustainabilityDocumentCharacteristic ; Sustainability documents of the battery. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; carbonFootprint ; Carbon Footprint ; ext-passport:FootprintList ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; activeMaterials ; Active Materials ; :ActiveMaterialsCharacteristic ; The active materials included in the battery. Mandatory are nickel, lithium, cobalt and lead. Others are optional. Defined by the Battery regulation 2023/1542 from 12 July 2023 in Article 3 Definitions:\n(5) ‘active material’ means a material which reacts chemically to produce electric energy when the battery cell discharges or to store electric energy when the battery is being charged. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; hazardousSubstance ; Hazardous Substance ; :HazardousSubstanceCharacteristic ; Hazardous substances like lead, cadmium and mercury. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; materialComposition ; Material Composition ; :MaterialCompositionList ; /NA/ ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; ratedPerformance ; Rated Performance ; :RatedPerformanceCharacteristic ; Rated performance values of the battery such as voltage, round trip efficiency, energy, resistance, power, capacity, temperature ranges and self-discharging rate. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dynamicPerformance ; Dynamic Performance ; :DynamicPerformanceCharacteristic ; Dynamic performance values of the battery. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; declarationOfConformityId ; Declaration of Conformity Id ; ext-passport:IdentifierCharacteristic ; Identification number of the EU declaration of conformity. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1):\n(r) the EU declaration of conformity referred to in Article 18. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; declarationOfConformity ; Declaration of Conformity ; ext-passport:DocumentList ; The EU Declaration of Conformity is a document in which the manufacturer or their authorized representative declares that the battery complies with all relevant European Union product safety directives and regulations. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1):\n(r) the EU declaration of conformity referred to in Article 18. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; resultOfTestReport ; Result of Test Report ; ext-passport:DocumentList ; The result of tests reports refers to the results of various tests conducted with the battery, testing its life cycle, life span, c-rate and various other aspects. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1):\n(l) temperature range the battery can withstand when not in use (reference test);\nand Annex XIII (3):\nresults of test reports proving compliance with the requirements laid down in this Regulation or any delegated or implementing act adopted pursuant to this Regulation. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; thirdPartyAssurance ; Third Party Assurance ; ext-passport:DocumentList ; A summary report from third-parties, covering the verifications. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (d) refers to the Article 52:\n3. The economic operator referred to in Article 48(1) shall on an annual basis review and make publicly available, including on the internet, a report on its battery due diligence policy. [...], as well as a summary report of the third-party verifications carried out in accordance with Article 51, including the name of the notified body, with due regard for business confidentiality and other competitive concerns. That report shall also cover, where relevant, access to information, public participation in decision-making and access to justice in environmental matters in relation to the sourcing, processing and trading of the raw materials present in batteries. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dueDiligencePolicy ; Due Diligence Policy ; ext-passport:DocumentList ; A report containing the information concerning the due diligence policy, a set of procedures and guidelines the organization follows to thoroughly assess and evaluate the various aspects of the battery. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1) (d) refers to the Article 52:\n3. The economic operator referred to in Article 48(1) shall on an annual basis review and make publicly available, including on the internet, a report on its battery due diligence policy. That report shall contain, in a manner that is easily comprehensible for end-users and clearly identifies the batteries concerned, the data and information on steps taken by that economic operator to comply with the requirements laid down in Articles 49 and 50, including findings of significant adverse impacts in the risk categories listed in point 2 of Annex X, and how they have been addressed, as well as a summary report of the third-party verifications carried out in accordance with Article 51, including the name of the notified body, with due regard for business confidentiality and other competitive concerns. That report shall also cover, where relevant, access to information, public participation in decision-making and access to justice in environmental matters in relation to the sourcing, processing and trading of the raw materials present in batteries. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; usableExtinguishAgent ; Usable Extinguish Agent ; :ExtinguishAgentList ; The usable extinguish agents for the battery in case of a fire. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(a) and refers to Annex VI Part A\n9. usable extinguishing agent. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; safetyMeasures ; Safety Measures ; ext-passport:DocumentList ; Safety instruction in the form of a documentation. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (2):\n(d) safety measures. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; meaningOfLabels ; Meaning of Labels ; ext-passport:DocumentList ; Documentation on the meaning of labels on a battery which provide information to help users understand the various symbols, markings, and information present on the battery's label. This attribute is mentioned in the Battery regulation 2023/1542 from 12 July 2023 in Annex XIII (1)(s) and refers to Article 74 (1):\n(e) the meaning of the labels and symbols on batteries in accordance with Article 13 or printed on their packaging or in the documents accompanying batteries [...]. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; safeDischarging ; Safe Discharging ; ext-passport:DocumentList ; Safe discharging documentation explaining for example the setting of a minimum voltage threshold for the battery. Discharging a battery below this threshold can lead to damage, reduced capacity, and safety hazards. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; dismantling ; Dismantling ; ext-passport:DocumentList ; Dismantling refers to the proper way of dismantling the battery itself. It refers to the process of taking apart the battery for various purposes, such as recycling, disposal, or examination of its components. This attribute is mentioned in the Battery Regulation 2023/1542 from 12 July 2023 in Annex XIII (2) (c) dismantling information, including at least:\n- exploded diagrams of the battery system/pack showing the location of battery cells,\n- disassembly sequences,\n- type and number of fastening techniques to be unlocked,\n- tools required for disassembly,\n- warnings if risk of damaging parts exist,\n- amount of cells used and layout. ;
urn:samm:io.catenax.battery.battery_pass:6.0.0 ; 6.1.0 ; release ; Property ; removalFromAppliance ; Removal From Appliance ; ext-passport:DocumentList ; Removal refers to the proper process of disassembling a battery from an appliance, typically for purposes such as repairs, replacements, or disposal. ;
